ID,Name,Keywords,CodeString,MasterID,SpearmanCorrelation,CorrectedPvalue
5275,NL_TSTL_FractalDimensions_2_100_02_1_5_10_32_ac_5_linfit_rmsqres,"nonlinear,tstool,dimension,correlation,stochastic",NL_TSTL_FractalDimensions_2_100_02_1_5_10_32_ac_5.linfit_rmsqres,932,-0.0353430353430354,1
902,EN_DistributionEntropy_hist_10_02,"entropy",EN_DistributionEntropy_hist_10_02,543,0.0353430353430354,1
2252,SY_RangeEvolve_l100,"stationarity",SY_RangeEvolve.l100,494,0.0353430353430354,1
5105,NL_TSTL_GPCorrSum2_n1_01_40_40_ac_fnnmar_robfit_s,"nonlinear,correlation,tstool,stochastic",NL_TSTL_GPCorrSum2_n1_01_40_40_ac_fnnmar.robfit_s,927,0.0353430353430354,1
7442,MF_compare_GARCH_ar_1_3_1_3_meanBIC,"model",MF_compare_GARCH_ar_1_3_1_3.meanBIC,1034,0.0353430353430354,1
1335,SB_TransitionMatrix_21_symdiff,"symbolic,transitionmat",SB_TransitionMatrix_21.symdiff,731,0.0351261148416555,1
65,quantile_3,"distribution",DN_Quantile_3,62,-0.0351241930189299,1
6158,PP_Compare_rav10_gauss1_kd_resruns,"preprocessing,raw",PP_Compare_rav10.gauss1_kd_resruns,973,-0.0351241930189299,1
7070,MF_StateSpace_n4sid_1_05_1_normksstat,"model",MF_StateSpace_n4sid_1_05_1.normksstat,1022,0.0351241930189299,1
7444,MF_compare_GARCH_ar_1_3_1_3_maxAIC,"model",MF_compare_GARCH_ar_1_3_1_3.maxAIC,1034,0.0351241930189299,1
791,SY_LocalGlobal_median_p01,"stationarity,distribution",SY_LocalGlobal_p01.median,500,-0.0349053506948244,1
4975,NL_TISEAN_c1_1_2_6_25_01_bestscrd,"nonlinear,tisean,dimension,entropy",NL_TISEAN_c1_1_2_6_25_01.bestscrd,922,-0.0349053506948244,1
6609,NL_MS_fnn_1_10_mi_5_1_pfnn_6,"nonlinear,fnn,slow",NL_MS_fnn_1_10_mi_5_1.pfnn_6,1000,-0.0349053506948244,1
5774,PP_Compare_sin2_swms5_2,"preprocessing,raw,stationarity",PP_Compare_sin2.swms5_2,961,0.0349053506948244,1
5573,NL_TSTL_ReturnTime_005_1_005_n1_1_3_std,"nonlinear,tstool",NL_TSTL_ReturnTime_005_1_005_n1_1_3.std,945,-0.0346865083707189,1
5763,PP_Compare_sin1_olbt_m2,"preprocessing,raw",PP_Compare_sin1.olbt_m2,960,-0.0346865083707189,1
6501,WL_coeffs_db3_max_max_coeff,"wavelet",WL_coeffs_db3_max.max_coeff,995,-0.0346865083707189,1
2677,PH_Walker_momentum_2_res_runstest,"trend",PH_Walker_momentum_2.res_runstest,817,0.0346865083707189,1
5971,PP_Compare_medianf3_gauss1_kd_resAC2,"preprocessing,raw",PP_Compare_medianf3.gauss1_kd_resAC2,967,0.0346865083707189,1
7295,MF_ExpSmoothing_05_best_alphamin_1,"model",MF_ExpSmoothing_05_best.alphamin_1,1031,-0.0344676660466134,1
2626,PH_Walker_biasprop_05_01_w_min,"trend",PH_Walker_biasprop_05_01.w_min,815,0.0344676660466134,1
5716,PP_Compare_poly2_swss5_1,"preprocessing,raw,stationarity",PP_Compare_poly2.swss5_1,959,0.0344676660466134,1
7287,MF_armax_2_2_05_1_normp,"model",MF_armax_2_2_05_1.normp,1029,0.0344676660466134,1
7373,MF_GARCHfit_ar_P1_Q1_stde_popt,"model",MF_GARCHfit_ar_P1_Q1.stde_popt,1032,-0.0343770579204579,1
5752,PP_Compare_sin1_gauss1_kd_rmse,"preprocessing,raw",PP_Compare_sin1.gauss1_kd_rmse,960,0.0342488237225079,1
1567,CO_Embed2_Basic_tau_parabdown01_1,"correlation",CO_Embed2_Basic_tau.parabdown01_1,743,-0.0340299813984025,1
1048,ST_FitPolynomial_2,"trend",ST_FitPolynomial_2,651,-0.033811139074297,1
6228,PP_Compare_resample_2_1_olbt_m2,"preprocessing,raw",PP_Compare_resample_2_1.olbt_m2,975,-0.033811139074297,1
4397,SP_Summaries_pgram_hamm_logarea_5_4,"FourierSpectrum",SP_Summaries_pgram_hamm.logarea_5_4,908,0.033811139074297,1
